city_name,country_code,w_main,w_description,w_icon,w_temp,w_feels_like,w_temp_min,w_temp_max,w_pressure,humidity,wind_speed,wind_deg,clouds,dt,sunrise,sunset,timezone,w_name
Esslingen,DE,Clouds,broken clouds,04d,281.82,279.23,280.76,282.93,1000.0,85.0,4.63,330.0,75.0,1648662212.0,1648616699.0,1648662557.0,7200.0,Esslingen am Neckar
Gladbeck,DE,Clouds,overcast clouds,04d,282.2,281.9,280.88,284.01,1001.0,62.0,1.34,57.0,100.0,1648662213.0,1648617130.0,1648663243.0,7200.0,Gladbeck
Hilden,DE,Clouds,few clouds,02d,283.86,282.29,281.87,284.85,1001.0,50.0,4.12,30.0,20.0,1648662213.0,1648617159.0,1648663235.0,7200.0,Hilden
Cottbus,DE,Clouds,overcast clouds,04n,277.63,275.28,277.55,278.61,1002.0,88.0,2.68,54.0,100.0,1648662214.0,1648615359.0,1648661486.0,7200.0,Cottbus
Witten,DE,Clouds,overcast clouds,04d,281.89,279.82,279.62,283.78,998.0,61.0,3.57,38.0,100.0,1648661956.0,1648617052.0,1648663153.0,7200.0,Witten
Hanau,DE,Clouds,broken clouds,04d,282.66,282.28,282.17,284.34,1002.0,24.0,1.46,94.0,81.0,1648662215.0,1648616733.0,1648662712.0,7200.0,Hanau
Gera,DE,Clouds,overcast clouds,04n,276.89,274.56,275.85,277.68,999.0,90.0,2.5,56.0,100.0,1648662216.0,1648615941.0,1648661985.0,7200.0,Gera
Iserlohn,DE,Clouds,few clouds,02d,280.53,277.4,279.63,281.9,1002.0,67.0,5.14,10.0,20.0,1648662217.0,1648616975.0,1648663070.0,7200.0,Iserlohnerheide
Duren,DE,Clouds,broken clouds,04d,283.9,282.41,282.83,284.87,1000.0,53.0,3.6,350.0,75.0,1648662072.0,1648617286.0,1648663327.0,7200.0,Düren
Flensburg,DE,Clouds,overcast clouds,04d,275.18,272.47,275.09,276.42,1006.0,87.0,2.57,60.0,100.0,1648662218.0,1648616375.0,1648662820.0,7200.0,Flensburg
Tubingen,DE,Clouds,overcast clouds,04d,282.04,280.94,280.62,282.58,1000.0,84.0,2.13,3.0,100.0,1648662218.0,1648616770.0,1648662609.0,7200.0,Tübingen
Zwickau,DE,Clouds,overcast clouds,04n,276.41,273.23,275.47,277.36,1003.0,93.0,3.46,53.0,100.0,1648662219.0,1648615849.0,1648661879.0,7200.0,Zwickau
Giessen,DE,Clouds,overcast clouds,04d,282.09,281.77,280.62,283.26,1009.0,65.0,1.34,0.0,92.0,1648662219.0,1648616773.0,1648662793.0,7200.0,Giessen
Ratingen,DE,Clouds,few clouds,02d,283.64,282.13,280.93,284.79,1002.0,53.0,4.12,30.0,20.0,1648662220.0,1648617175.0,1648663262.0,7200.0,Ratingen
Lunen,DE,Clouds,few clouds,02d,281.73,278.91,280.92,283.22,1001.0,70.0,5.14,10.0,20.0,1648662220.0,1648617000.0,1648663117.0,7200.0,Lünen
Konstanz,DE,Rain,light rain,10d,281.76,281.76,280.98,284.9,999.0,89.0,0.89,135.0,100.0,1648662221.0,1648616776.0,1648662545.0,7200.0,Konstanz
Villingen-Schwenningen,DE,Clouds,overcast clouds,04d,280.75,280.18,279.49,281.96,1000.0,94.0,1.4,327.0,100.0,1648662221.0,1648616932.0,1648662733.0,7200.0,Villingen-Schwenningen
Marl,DE,Clouds,overcast clouds,04d,281.84,281.49,280.56,284.07,1001.0,69.0,1.34,57.0,100.0,1648662222.0,1648617093.0,1648663216.0,7200.0,Marl
Worms,DE,Clouds,overcast clouds,04d,282.95,282.73,282.03,284.23,1002.0,77.0,1.35,62.0,92.0,1648662222.0,1648616887.0,1648662822.0,7200.0,Worms
Velbert,DE,Clouds,few clouds,02d,281.79,279.42,279.74,283.48,1001.0,57.0,4.12,30.0,20.0,1648662223.0,1648617127.0,1648663218.0,7200.0,Velbert
Minden,DE,Clouds,overcast clouds,04d,280.19,277.73,279.74,280.34,1003.0,61.0,3.6,50.0,100.0,1648662223.0,1648616631.0,1648662814.0,7200.0,Minden
Dessau-Rosslau,DE,Clouds,overcast clouds,04n,278.8,278.05,278.35,279.51,1003.0,73.0,1.34,90.0,100.0,1648662224.0,1648615859.0,1648661994.0,7200.0,Wallwitzhafen
Neumunster,DE,Clouds,overcast clouds,04d,278.16,275.27,277.08,278.84,1004.0,81.0,3.58,90.0,100.0,1648662224.0,1648616282.0,1648662648.0,7200.0,Neumünster
Norderstedt,DE,Clouds,overcast clouds,04d,278.52,276.04,277.93,279.31,1003.0,77.0,3.09,40.0,100.0,1648662225.0,1648616297.0,1648662624.0,7200.0,Norderstedt
Bamberg,DE,Clouds,overcast clouds,04d,278.66,276.48,277.59,280.29,1002.0,87.0,2.72,24.0,100.0,1648662226.0,1648616271.0,1648662227.0,7200.0,Bamberg
Delmenhorst,DE,Clouds,few clouds,02d,278.79,276.75,278.09,279.31,1004.0,77.0,2.57,70.0,20.0,1648662226.0,1648616661.0,1648662921.0,7200.0,Delmenhorst
Viersen,DE,Clear,clear sky,01d,283.45,282.29,281.85,284.92,1001.0,67.0,4.12,360.0,0.0,1648662227.0,1648617286.0,1648663370.0,7200.0,Viersen
Marburg,DE,Clouds,overcast clouds,04d,281.51,280.7,280.25,282.9,1002.0,73.0,1.72,55.0,96.0,1648662227.0,1648616738.0,1648662779.0,7200.0,Marburg
Rheine,DE,Clouds,overcast clouds,04d,279.84,277.15,278.7,281.01,1003.0,75.0,3.88,45.0,100.0,1648662228.0,1648616987.0,1648663170.0,7200.0,Rheine
Troisdorf,DE,Clear,clear sky,01d,284.53,283.03,284.16,285.29,1000.0,50.0,4.63,30.0,0.0,1648662228.0,1648617124.0,1648663166.0,7200.0,Troisdorf
Wilhelmshaven,DE,Clouds,overcast clouds,04d,278.31,275.63,277.59,279.25,1005.0,67.0,3.32,13.0,98.0,1648662130.0,1648616756.0,1648663065.0,7200.0,Wilhelmshaven
Bayreuth,DE,Rain,light rain,10d,276.9,273.46,275.29,277.88,998.0,92.0,4.02,0.0,100.0,1648661964.0,1648616104.0,1648662064.0,7200.0,Bayreuth
Luneburg,DE,Clouds,overcast clouds,04d,277.48,276.5,277.25,279.46,1005.0,80.0,1.38,129.0,100.0,1648662230.0,1648616224.0,1648662503.0,7200.0,Lüneburg
Dorsten,DE,Clouds,overcast clouds,04d,282.06,281.74,280.66,284.16,1001.0,72.0,1.34,57.0,100.0,1648662230.0,1648617130.0,1648663252.0,7200.0,Hochfeld
Castrop-Rauxel,DE,Clouds,overcast clouds,04d,281.65,280.07,280.68,283.72,1000.0,63.0,2.68,0.0,100.0,1648662231.0,1648617051.0,1648663162.0,7200.0,Castrop-Rauxel
Detmold,DE,Clouds,overcast clouds,04d,280.11,280.11,278.71,281.65,1001.0,68.0,0.89,90.0,100.0,1648662231.0,1648616657.0,1648662804.0,7200.0,Detmold
Arnsberg,DE,Clouds,overcast clouds,04d,280.51,278.6,280.12,281.49,1003.0,77.0,2.84,42.0,97.0,1648662232.0,1648616879.0,1648662975.0,7200.0,Arnsberg
Ludenscheid,DE,Clouds,overcast clouds,04d,280.1,277.95,278.78,280.99,1002.0,76.0,3.08,49.0,100.0,1648662232.0,1648616992.0,1648663072.0,7200.0,Lüdenscheid
Landshut,DE,Clouds,overcast clouds,04n,282.99,282.99,281.99,283.59,987.0,84.0,0.45,293.0,100.0,1648662233.0,1648616027.0,1648661866.0,7200.0,Landshut
Brandenburg,DE,Clouds,overcast clouds,04n,279.45,276.95,278.21,280.99,1004.0,66.0,3.41,46.0,100.0,1648662234.0,1648615753.0,1648661945.0,7200.0,Brandenburg
Bocholt,DE,Clouds,overcast clouds,04d,281.29,278.84,279.49,282.16,1003.0,29.0,4.06,39.0,100.0,1648662234.0,1648617205.0,1648663344.0,7200.0,Biemenhorst
Aschaffenburg,DE,Clouds,overcast clouds,04d,281.9,280.89,280.32,282.96,1001.0,24.0,1.99,106.0,89.0,1648662235.0,1648616685.0,1648662649.0,7200.0,Aschaffenburg
Celle,DE,Clouds,broken clouds,04d,279.92,277.12,278.79,281.13,1003.0,63.0,4.12,60.0,75.0,1648662235.0,1648616335.0,1648662550.0,7200.0,Celle Vorwerk
